rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1 | e7e5 e7e6 g7g6 c7c5 c7c6 d7d6 d7d5 g8f6 b8c6
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2 | g1f3 f1c4 f2f4 b1c3 d2d4
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2 | b8c6 g8f6 d7d6 f7f5
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3 | f1c4 f1b5 b1c3 d2d4 d2d3 f1e2 c2c3 g2g3
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3 | f8c5 g8f6 d7d6
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4 | c2c3 e1g1 b1c3 b2b4 d2d3
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4 | g8f6
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5 | d2d3 d2d4 b2b4
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq - 0 5 | d7d6 a7a6 e8g8
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq - 0 6 | b2b4 c4b3 c1g5 b1d2 e1g1 a2a4
r1bqk2r/ppp2ppp/2np1n2/2b1p3/1PB1P3/2PP1N2/P4PPP/RNBQK2R b KQkq - 0 6 | c5b6
r1bqk2r/ppp2ppp/1bnp1n2/4p3/1PB1P3/2PP1N2/P4PPP/RNBQK2R w KQkq - 1 7 | a2a4
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1 | g8f6 d7d5 f7f5 e7e6 d7d6 g7g6 a7a6 c7c5 b8c6 b7b6 c7c6
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2 | c2c4 g1f3 c1g5 c2c3 g2g3 c1f4 b1c3
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2 | g7g6 e7e6 c7c5 c7c6 d7d6 e7e5
rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3 | f2f3 g1f3 b1c3 g2g3 c1g5 h2h4
rnbqkb1r/pppppp1p/5np1/8/2PP4/5P2/PP2P1PP/RNBQKBNR b KQkq - 0 3 | d7d5 d7d6 e7e6 f8g7 b8c6 c7c5
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/5P2/PP2P1PP/RNBQKBNR w KQkq - 0 4 | c4d5
rnbqkb1r/ppp1pp1p/5np1/3P4/3P4/5P2/PP2P1PP/RNBQKBNR b KQkq - 0 4 | f6d5
rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/5P2/PP2P1PP/RNBQKBNR w KQkq - 0 5 | e2e4
rnbqkb1r/ppp1pp1p/6p1/3n4/3PP3/5P2/PP4PP/RNBQKBNR b KQkq - 0 5 | d5b6
rnbqkb1r/ppp1pp1p/1n4p1/8/3PP3/5P2/PP4PP/RNBQKBNR w KQkq - 1 6 | b1c3
rnbqkb1r/ppp1pp1p/1n4p1/8/3PP3/2N2P2/PP4PP/R1BQKBNR b KQkq - 2 6 | f8g7
rnbqk2r/ppp1ppbp/1n4p1/8/3PP3/2N2P2/PP4PP/R1BQKBNR w KQkq - 3 7 | c1e3
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1 | e7e6 e7e5 c7c5 g8f6 c7c6 b7b6 g7g6 f7f5 d7d6
rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2 | b1c3 g2g3 g1f3 d2d4
rnbqkbnr/pppp1ppp/4p3/8/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2 | d7d5 g8f6 b7b6 c7c5 f8b4
rnbqkbnr/ppp2ppp/4p3/3p4/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 3 | d2d4 e2e3
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 0 3 | g8f6 f8b4 c7c5 f8e7 c7c6
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 1 4 | c4d5 g1f3 c1g5
rnbqkb1r/ppp2ppp/4pn2/3P4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq - 0 4 | e6d5 f6d5
rnbqkb1r/ppp2ppp/5n2/3p4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5 | c1g5
rnbqkb1r/ppp2ppp/5n2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR b KQkq - 1 5 | c7c6 f8e7 b8d7
rnbqkb1r/pp3ppp/2p2n2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 6 | d1c2 e2e3
rnbqkb1r/pp3ppp/2p2n2/3p2B1/3P4/2N5/PPQ1PPPP/R3KBNR b KQkq - 1 6 | f8e7
rnbqk2r/pp2bppp/2p2n2/3p2B1/3P4/2N5/PPQ1PPPP/R3KBNR w KQkq - 2 7 | e2e3
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2 | d2d4 b1c3 d2d3 b2b3 g1f3
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2 | d7d5
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3 | b1d2 b1c3 e4e5 e4d5
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq - 1 3 | c7c5 g8f6 d5e4 b8c6 f8e7 a7a6
rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4 | g1f3 e4d5 d4c5
rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/5N2/PPPN1PPP/R1BQKB1R b KQkq - 1 4 | c5d4 g8f6 b8c6
rnbqkbnr/pp3ppp/4p3/3p4/3pP3/5N2/PPPN1PPP/R1BQKB1R w KQkq - 0 5 | f3d4 e4d5
rnbqkbnr/pp3ppp/4p3/3p4/3NP3/8/PPPN1PPP/R1BQKB1R b KQkq - 0 5 | g8f6 b8c6
rnbqkb1r/pp3ppp/4pn2/3p4/3NP3/8/PPPN1PPP/R1BQKB1R w KQkq - 1 6 | e4d5
rnbqkb1r/pp3ppp/4pn2/3P4/3N4/8/PPPN1PPP/R1BQKB1R b KQkq - 0 6 | d8d5 f6d5
rnb1kb1r/pp3ppp/4pn2/3q4/3N4/8/PPPN1PPP/R1BQKB1R w KQkq - 0 7 | d4b5
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3 | g8f6 a7a6 f7f5 g7g6 f8c5 g8e7 c6d4
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4 | d2d3 e1g1 b1c3 d1e2 d2d4
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4 | f8c5 d7d6
r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5 | b5c6 c2c3 b1c3 e1g1 b1d2 b5a4
r1bqk2r/pppp1ppp/2B2n2/2b1p3/4P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 5 | d7c6
r1bqk2r/ppp2ppp/2p2n2/2b1p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 6 | b1d2 d1e2 h2h3 c1g5 e1g1 b1c3 c1e3
r1bqk2r/ppp2ppp/2p2n2/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQK2R b KQkq - 1 6 | e8g8 c8e6 f6d7 d8e7
r1bq1rk1/ppp2ppp/2p2n2/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQK2R w KQ - 2 7 | e1g1 d1e2 d2c4
rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2 | b1c3 g2g3 d2d3 a2a3
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2 | g8f6 b8c6 f8b4 d7d6
rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 3 | g1f3 g2g3
rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq - 3 3 | b8c6
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 4 4 | g2g3 a2a3 e2e3 d2d4 d2d3 e2e4
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq - 0 4 | f8b4 d7d5 c6d4 f8c5 g7g6
r1bqk2r/pppp1ppp/2n2n2/4p3/1bP5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq - 1 5 | c3d5 f1g2
r1bqk2r/pppp1ppp/2n2n2/3Np3/1bP5/5NP1/PP1PPP1P/R1BQKB1R b KQkq - 2 5 | b4c5 a7a5 e5e4
r1bqk2r/pppp1ppp/2n2n2/2bNp3/2P5/5NP1/PP1PPP1P/R1BQKB1R w KQkq - 3 6 | f1g2
r1bqk2r/pppp1ppp/2n2n2/2bNp3/2P5/5NP1/PP1PPPBP/R1BQK2R b KQkq - 4 6 | d7d6 e8g8
r1bqk2r/ppp2ppp/2np1n2/2bNp3/2P5/5NP1/PP1PPPBP/R1BQK2R w KQkq - 0 7 | e1g1
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3 | g1f3 b1c3 g2g3
